Chromophore,Solvent,Quantum yield
O=S(CCCN(C1C=C2[O+]=C(C(C)(C)C)C=C(C2=CC=1)/C=C/C=C1\N(C2=C(C=C(C=C2)S([O-])(=O)=O)C\1(CCCC(O)=O)C)CCCS(O)([O-])=O)CCCS(=O)([O-])=O)(=O)[O-],CCO,
O=S(CCCN(C1C=C2[O+]=C(C(C)(C)C)C=C(C2=CC=1)/C=C/C=C1\N(C2=C(C=C(C=C2)S(O)(=O)=O)C\1(CCCC(O)=O)C)CCCS(O)(O)=O)CCCS(=O)(O)=O)(=O)O,CCO,
OC(=O)CCCCCN1C2=C(C=C(S([O-])(=O)=O)C=C2)C(C)(/C/1=C/C=C/C1=CC(=[O+]C2C1=CC1CCCN3C=1C=2CCC3)C(C)(C)C)C,CCO,
OC(=O)CCCCCN1C2=C(C=C(S(O)(=O)=O)C=C2)C(C)(/C/1=C/C=C/C1=CC(=[O+]C2C1=CC1CCCN3C=1C=2CCC3)C(C)(C)C)C,CCO,
[O+]1=C(C(C)(C)C)C=C(C2C1=C1C3N(CCCC=3C=2)CCC1)/C=C/C=C1\N(C2C=CC(S(O)(=O)=O)=CC=2C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O,CCO,
[O+]1=C(C(C)(C)C)C=C(C2C1=C1C3N(CCCC=3C=2)CCC1)/C=C/C=C1\N(C2C=CC(S(O)(=O)=O)=CC=2C\1(CCCC(O)=O)C)CCCS(=O)(O)=O,CCO,
C(=O)(C1C=C(C2C3=C(O/C(/C=2C)=C/CC2C(=O)N(CCCS(=O)([O-])=O)C(N(CCCCCC(O)=O)C2=O)=O)C=C(N(CC)CC)C=C3)C=CC=1)O,CCO,
C(=O)(C1C=C(C2C3=C(O/C(/C=2C)=C/CC2C(=O)N(CCCS(=O)(O)=O)C(N(CCCCCC(O)=O)C2=O)=O)C=C(N(CC)CC)C=C3)C=CC=1)O,CCO,
OS(C1C=C(C2C3=C(C=C(N(CC)CC)C=C3)O/C(/C=2)=C/C=C2\C(=O)N(C(N(C\2=O)CCCCCC(O)=O)=O)CCCS(=O)([O-])=O)C(=CC=1OC)C)(=O)=O,CCO,
[O-]S(C1C=C(C2C3=C(C=C(N(CC)CC)C=C3)O/C(/C=2)=C/C=C2\C(=O)N(C(N(C\2=O)CCCCCC(O)=O)=O)CCCS(=O)([O-])=O)C(=CC=1OC)C)(=O)=O,CCO,
OS(C1C=C(C2C3=C(C=C(N(CC)CC)C=C3)O/C(/C=2)=C/C=C2\C(=O)N(C(N(C\2=O)CCCCCC(O)=O)=O)CCCS(=O)(O)=O)C(=CC=1OC)C)(=O)=O,CCO,
OC(CCCCCN1/C(=C/C=C/C=C/C2=[N+](C3C(=CC(S([O-])(=O)=O)=CC=3)C2(C)C)CCOC)/C(C)(C)C2C=C(S(O)(=O)=O)C=CC=21)=O,O,
OC(CCCCCN1/C(=C/C=C/C=C/C2=[N+](C3C(=CC(S([O-])(=O)=O)=CC=3)C2(C)C)CCOC)/C(C)(C)C2C=C(S([O-])(=O)=O)C=CC=21)=O,O,
OC(CCCCCN1/C(=C/C=C/C=C/C2=[N+](C3C(=CC(S(O)(=O)=O)=CC=3)C2(C)C)CCOC)/C(C)(C)C2C=C(S(O)(=O)=O)C=CC=21)=O,O,
OC(CCCCCN1C2=C(C=C(S(=O)(=O)O)C=C2)C(CCCS(O)(=O)=O)(/C/1=C\C=C\C=C\C1C(C)(C)C2CC(S([O-])(=O)=O)=CC=C2[N+]=1CCOC)C)=O,O,
OC(CCCCCN1C2=C(C=C(S(=O)(=O)O)C=C2)C(CCCS([O-])(=O)=O)(/C/1=C\C=C\C=C\C1C(C)(C)C2CC(S([O-])(=O)=O)=CC=C2[N+]=1CCOC)C)=O,O,
OC(CCCCCN1C2=C(C=C(S(=O)(=O)[O-])C=C2)C(CCCS([O-])(=O)=O)(/C/1=C\C=C\C=C\C1C(C)(C)C2CC(S([O-])(=O)=O)=CC=C2[N+]=1CCOC)C)=O,O,
OC(CCCCCN1C2=C(C=C(S(=O)(=O)O)C=C2)C(CCCS(O)(=O)=O)(/C/1=C\C=C\C=C\C1C(C)(C)C2CC(S(O)(=O)=O)=CC=C2[N+]=1CCOC)C)=O,O,
OC(CCCCCN1C2=C(C=C(S(=O)(=O)[O-])C=C2)C(CCCS([O-])(=O)=O)(/C/1=C\C=C\C=C\C1C(CCCS(O)(=O)=O)(C)C2CC(S([O-])(=O)=O)=CC=C2[N+]=1CCOC)C)=O,O,
OC(=O)CCCCCN1C2=C(C=C(C=C2)S([O-])(=O)=O)C(C)(C)/C/1=C/C=C/C1C2=CC3C(C)=CC(C)(N(CC)C=3C=C2[O+]=C(C(C)(C)C)C=1)C,CCO,
OC(=O)CCCCCN1C2=C(C=C(C=C2)S(O)(=O)=O)C(C)(C)/C/1=C/C=C/C1C2=CC3C(C)=CC(C)(N(CC)C=3C=C2[O+]=C(C(C)(C)C)C=1)C,CCO,
[O+]1=C(C(C)(C)C)C=C(C2=CC3C(=CC(C)(N(C=3C=C21)CC)C)C)/C=C/C=C1\N(C2=C(C=C(S(O)([O-])=O)C=C2)C\1(CCCC(O)=O)C)CCCS([O-])(=O)=O,CCO,
O=S(CCCN1C(C)(C)C=C(C2C=C3C(=CC(=[O+]C3=CC=21)C(C)(C)C)/C=C/C=C1\N(C2=C(C=C(C=C2)S(O)(=O)=O)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O)C)(=O)O,CCO,
O=S(CCCN1C(C)(C)C=C(C2C=C3C(=CC(=[O+]C3=CC=21)C(C)(C)C)/C=C/C=C1\N(C2=C(C=C(S(O)(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(=O)(O)=O)CS(=O)(=O)O)(=O)[O-],CCO,
OC(CCCCCN1/C(/C(C)(C)C2C3C(C=CC=21)=C(S(=O)([O-])=O)C=C(C=3)S([O-])(=O)=O)=C/C=C/C=C/C1=[N+](C2C(=CC(S([O-])(=O)=O)=CC=2)C1(CCCS([O-])(=O)=O)C)CCOC)=O,O,
OC(=O)CCCCCN1C2C=CC(S([O-])(=O)=O)=CC=2C(C)(C)/C/1=C/C=C/C1=CC(=[O+]C2=CC3N(C(C)(C)C=C(C=3C=C21)C)CC)C1C=CC=CC=1,CCO,
[O+]1=C(C2C=CC=CC=2)C=C(C2=CC3C(=CC(C)(N(C=3C=C21)CC)C)C)/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O,CCO,
O=S(CCCN1C(C)(C)C=C(C2C=C3C(=CC(=[O+]C3=CC=21)C1C=CC=CC=1)/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O)C)(=O)[O-],CCO,
O=S(CCCN1C2C=C3[O+]=C(C4C=CC=CC=4)C=C(/C=C/C=C4/C(CCCC(O)=O)(C)C5C=C(S([O-])(=O)=O)C=CC=5N/4CCCS(=O)([O-])=O)C3=CC=2C(=CC1(C)C)CS([O-])(=O)=O)(=O)[O-],CCO,
S(=O)(=O)(C1=CC(S(=O)([O-])=O)=C2C(C3C(C)(/C(/N(CCCCCC(O)=O)C=3C=C2)=C\C=C\C=C\C2=[N+](CCOC)C3=CC=C4C(S(=O)([O-])=O)=CC(=CC4=C3C2(C)C)S([O-])(=O)=O)CCCS([O-])(=O)=O)=C1)[O-],O,
OC(=O)CCCCCN1C2=C(C=C(C=C2)S([O-])(=O)=O)C(C)(C)/C/1=C\C=C\C1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1)C(C)(C)C,CCO,
O=S(CCCN1C2=C(C=C(C=C2)S([O-])(=O)=O)C(/C/1=C\C=C\C1=[O+]C2C(C(=C1)C(C)(C)C)=CC=C(N(CC)CC)C=2)(C)CCCC(=O)O)(=O)[O-],CCO,
O=S(=O)(CCCN(C1C=C2C(C(=CC(=[O+]2)/C=C/C=C2/N(C3=C(C=C(C=C3)S([O-])(=O)=O)C/2(CCCC(=O)O)C)CCCS(O)([O-])=O)C(C)(C)C)=CC=1)CC)[O-],CCO,
[O-]S(=O)(=O)C1C=C(C=CC=1)CN(C1C=C2[O+]=C(/C=C/C=C3/N(C4=C(C=C(C=C4)S([O-])(=O)=O)C/3(CCCC(=O)O)C)CCCS(O)([O-])=O)C=C(C2=CC=1)C(C)(C)C)CC1=CC(S(=O)([O-])=O)=CC=C1,CCO,
OC(=O)CCCCCN1C2C=CC(S([O-])(=O)=O)=CC=2C(C)(/C/1=C\C=C\C1=[O+]C2C(=CC=C(N(CC)CC)C=2)C(C2C=CC=CC=2)=C1C)C,CCO,
O=S([O-])(CCCN1C2=C(C=C(S([O-])(=O)=O)C=C2)C(C)(CCCC(=O)O)/C/1=C\C=C\C1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1C)C1=CC=CC=C1)=O,CCO,
O=S(CCCN(C1C=C2[O+]=C(/C=C/C=C3\C(C)(C4C=C(C=CC=4N\3CCCS(=O)(O)=O)S([O-])(=O)=O)CCCC(=O)O)C(=C(C2=CC=1)/C(/C=C=C)=C/C=C)C)CC)(=O)[O-],CCO,
O=S(CCCN1C2C=CC(S(O)(=O)=O)=CC=2C(C)(CCCC(=O)O)/C/1=C\C=C\C1=[O+]C2C(C(C3C(C)=CC(OC)=CC=3)=C1)=CC=C(N(CC)CC)C=2)(=O)[O-],CCO,
O=S(CCCN1C2C=CC(S([O-])(=O)=O)=CC=2C(C)(/C/1=C\C=C\C1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1)C1C=C(S(=O)([O-])=O)C(=CC=1C)OC)CCCC(=O)O)(=O)[O-],CCO,
OC(=O)CCCCCN1C2=C(C=C(S([O-])(=O)=O)C=C2)C(C)(C)/C/1=C\CCC1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1C)C1C=CC=C(S(=O)([O-])=O)C=1,CCO,
O=S(CCCN1C2=C(C=C(S([O-])(=O)=O)C=C2)C(C)(/C/1=C\C=C\C1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1C)C1C=C(S(=O)([O-])=O)C=CC=1)CCCC(=O)O)(=O)[O-],CCO,
[O-]S(C1C=CC2N(/C(/C(C=2C=1)(C)C)=C/C=C1\CCCC2C\1=[O+]C1C(C=2C2C=CC=CC=2C(NCCS(=O)([O-])=O)=O)=CC=C(N(CC)CC)C=1)CCCCCC(O)=O)(=O)=O,CCO,
[O+]1=C(C=C(C2=CC=C(C=C21)N(CC)CC)/C=C/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(C)C)CCCCCC(=O)O)C(C)(C)C,CCO,
[O+]1=C(C(C)(C)C)C=C(/C=C/C=C/C=C2\N(C3=C(C=C(S([O-])(=O)=O)C=C3)C\2(CCCC(O)=O)C)CCCS(=O)([O-])=O)C2C1=CC(N(CC)CC)CC=2,CCO,
O=S(CCCN(CC)C1C=C2[O+]=C(C(C)(C)C)C=C(C2=CC=1)/C=C/C=C/C=C1\N(C2=C(C=C(C=C2)S([O-])(=O)=O)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O)(=O)[O-],CCO,
O=S(CCCN(CCCS([O-])(=O)=O)C1C=C2[O+]=C(C(C)(C)C)C=C(C2=CC=1)/C=C/C=C/C=C1\N(C2=C(C=C(S(O)([O-])=O)C=C2)C\1(CCCC(O)=O)C)CCCS(O)(=O)[O-])(=O)[O-],CCO,
[O+]1=C(C(C)(C)C)C=C(C2=CC3CCCN4CCCC(C=34)=C21)/C=C/CC/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(O)([O-])=O,CCO,
OC(CCCCCN1C2=C(CC(S(=O)([O-])=O)C=C2)C(C)(C)/C/1=C\C=C\C=C\C=C\C1=[N+](C2C(=CC(S(=O)([O-])=O)=CC=2)C1(C)C)CCOC)=O,O,
OC(=O)CCCCCN1/C(=C/C=C/C=C/C=C/C2=[N+](CCOC)C3C(=CC(S([O-])(=O)=O)=CC=3)C2(CCCS([O-])(=O)=O)C)/C(C2C=C(S(=O)([O-])=O)C=CC=21)(CCCS([O-])(=O)=O)C,O,
[O+]1=C(C(C)(C)C)C=C(C2C1=CC1N(C(C)(C=C(C=1C=2)C)C)CC)/C=C/C=C/C=C1\N(C2=C(C=C(C=C2)S([O-])(=O)=O)C\1(C)C)CCCCCC(=O)O,CCO,
[O+]1=C(C(C)(C)C)C=C(C2=CC3C(=CC(C)(C)N(C=3C=C21)CC)C)/C=C/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O,CCO,
O=S(CCCN1C2C=C3[O+]=C(C(C)(C)C)C=C(C3=CC=2C(=CC1(C)C)C)/C=C/C=C/C=C1\N(C2=C(C=C(C=C2)S([O-])(=O)=O)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O)(=O)[O-],CCO,
O=S(CCCN1C2C=C3[O+]=C(C=C(C3=CC=2C(=CC1(C)C)CS(=O)([O-])=O)/C=C/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O)C(C)(C)C)(=O)[O-],CCO,
[O-]S(C1C2C=CC3N(/C(/C(C)(C)C=3C=2C=C(S(=O)([O-])=O)C=1)=C/C=C1\CCCC2=C(C3=CC4C(=CC(C)(N(C=4C=C3[O+]=C2\1)CC)C)CS(=O)([O-])=O)C1C=CC=CC=1C(N(C)CCCC(=O)O)=O)CC)(=O)=O,CCO,
[O+]1=C(C=C(C2=CC3C(=CC(C)(N(C=3C=C21)CC)C)C)C=C/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(=O)([O-])=O)C1C=CC=CC=1,CCO,
O=S(CCCN1C2C=C3[O+]=C(C4C=CC=CC=4)C=C(C3=CC=2C(=CC1(C)C)C)/C=C/C=C/C=C1/C(CCCC(O)=O)(C)C2C=C(S([O-])(=O)=O)C=CC=2N/1CCCS(=O)([O-])=O)(=O)[O-],CCO,
O=S(CCCN1C2C=C3[O+]=C(C=C(/C=C/C=C/C=C4\N(C5=C(C=C(C=C5)S([O-])(=O)=O)C\4(CCCC(O)=O)C)CCCS(=O)([O-])=O)C3=CC=2C(=CC1(C)C)CS(=O)([O-])=O)C1C=CC=CC=1)(=O)[O-],CCO,
OC(=O)CCCCCN1C2=C(C=C(C=C2)S([O-])(=O)=O)C(C)(C)/C/1=C\C=C\C=C\C1=[O+]C2C(C(=C1)C(C)(C)C)=CC=C(C=2)N(CC)CC,CCO,
O=S(CCCN1C2=C(C=C(C=C2)S([O-])(=O)=O)C(C)(CCCC(=O)O)/C/1=C\C=C\C=C\C1=[O+]C2=CC(N(CC)CC)=CC=C2C(C(C)(C)C)=C1)(=O)[O-],CCO,
O=S(CCCN(C1C=C2[O+]=C(/C=C/C=C/C=C3/N(C4=C(C=C(S([O-])(=O)=O)C=C4)C/3(C)CCCC(=O)O)CCCS(=O)([O-])=O)C=C(C(C)(C)C)C2=CC=1)CC)(=O)[O-],CCO,
[O-]S(C1=CC=CC(CN(C2C=C3[O+]=C(/C=C/C=C/C=C4/N(C5C=CC(S([O-])(=O)=O)=CC=5C/4(CCCC(O)=O)C)CCCS(=O)([O-])=O)C=C(C(C)(C)C)C3=CC=2)CC2C=CC=C(S(=O)([O-])=O)C=2)=C1)(=O)=O,CCO,
O=S(CCC[N+]1=C(/C=C/C2=C(/C(=C/C=C3/N(C4=C(C=CC=C4)C/3(CCCC(O)=O)C)CCCS(=O)([O-])=O)/CCC2)OC2=CC=C(S([O-])(=O)=O)C=C2)C(C)(C)C2=CC=CC=C21)(=O)[O-],CCO,
[O-]S(C1C=C2C(N(/C(/C2(CCCC(O)=O)C)=C\C=C\C=C2\C3=[O+]C4=CC(N(CC)CC)=CC=C4C(=C3CCC\2)C2C=CC=CC=2C(O)=O)CCCS(=O)([O-])=O)=CC=1)(=O)=O,CCO,
[O-]S(C1=CC2C(/C(/N(CCCCCC(O)=O)C=2C=C1)=C\C=C\C=C1\C2=[O+]C3=CC(N(CC)CC)=CC=C3C(=C2CCC\1)C1=C(C=CC=C1)C(N(C)CCS(=O)([O-])=O)=O)(C)C)(=O)=O,CCO,
[O+]1=C(C(C)(C)C)C=C(C2C1=CC(N(CC)CC)=CC=2)/C=C/C=C/C=C/C=C1\N(C2=C(C=C(S([O-])(=O)=O)C=C2)C\1(CCCC(O)=O)C)CCCS(O)([O-])=O,CCO,
[O-]S(C1=CC2C(C)(/C(/N(CCCCCC(O)=O)C=2C=C1)=C\C=C\C=C1/CCCC2C/1=[O+]C1=CC3N(C(C)(C)C=C(C=3C=C1C=2C1C=CC=CC=1C(=O)N(C)CCS(=O)([O-])=O)CS(=O)([O-])=O)CC)C)(=O)=O,CCO,
[O-]S(C1C2=C(C3C(C)(/C(/N(CC)C=3C=C2)=C\C=C\C=C2\C3=[O+]C4=CC5N(CC)C(C)(C=C(CS(=O)([O-])=O)C=5C=C4C(=C3CCC\2)C2CCC=CC=2C(N(C)CCCC(=O)O)=O)C)C)C=C(C=1)S(=O)([O-])=O)(=O)=O,CCO,
O=S(CCCN(C1C=C2C(=CC=1)N=C(C1C=C[N+](CCCS(=O)(=O)[O-])=CC=1)O2)C(NCCCCCC(O)=O)=O)(=O)[O-],O,
N1(N=C(CC1C1=CC=CC=C1S(=O)([O-])=O)C1C=CC(=CC=1)OCCCCCC(O)=O)C1C=CC(=CC=1)S([O-])(=O)=O,O,
OC(CCCCC[N+]1C=CC=CC=1C1=NC2=C3C(C=C(C=C3)S(=O)([O-])=O)=CC(=C2O1)S(=O)(=O)[O-])=O,O,
[O-]S(CCC[N+]1C=CC(=CC=1)C1=NC2=CC=C(NC(=O)CCCC(O)=O)C=C2O1)(=O)=O,O,
O=S(CCC[N+]1=CC=C(C=C1)/C=C/C1=NC2=CC(S(=O)([O-])=O)=C(OCCCCCC(O)=O)C=C2O1)(=O)[O-],O,
OC(CCCCC[N+]1C=CC(=CC=1)C1OC2=CC(OCCCS(=O)([O-])=O)=CC=C2N=1)=O,O,
[O-]S(CCC[N+]1C=CC(=CC=1)C1=NC2=CC=C(NC(NCCCCCC(O)=O)=O)C=C2O1)(=O)=O,O,
O=S(CCC[N+]1C=CC(=CC=1)/C=C/C1OC2=CC(OCCCCCC(O)=O)=CC=C2N=1)(=O)[O-],O,
OC(=O)CCCC[N+]1C2=C(C=C(C=C2)S(=O)([O-])=O)C(C)(C)C=1/C=C/C1=C(C2C(=CC(OC)=CC=2OC)OC1=O)O,CCO,
OC(=O)CCCCC[N+]1C2=C(C=C(C=C2)S(=O)([O-])=O)C(C)(C)C=1/C=C/C1=C(C2C(=CC(OC)=CC=2OC)OC1=O)O,CCO,
OC(=O)CCCCC[N+]1C=C(C=CC=1/C=C/C1=CC2C(=CC(N(CC)CC)=CC=2)OC1=O)S(=O)([O-])=O,CCO,
OC(CCCCCN(C1C=C2OC(=O)C(=CC2=CC=1)/C=C/C(/C=C\C(\S(=O)([O-])=O)=C/C)=[NH+]\CCCS(=O)([O-])=O)CC)=O,CCO,
OC(CCCCCN(C1C=C2OC(C(C3=CC=[N+](CCCS(=O)([O-])=O)C=C3)=CC2=CC=1)=O)CC)=O,CCO,
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1/C=C/C1C=C[N+](CCCCCC(O)=O)=CC=1,CCO,
O=S(CCCN1C2C=C3OC(=O)C(C4=CC=[N+](CCCCCC(O)=O)C=C4)=CC3=CC=2C(=CC1(C)C)C)(=O)[O-],CCO,
O=S(CCCN1C2C=C3OC(=O)C(=CC3=CC=2C(CS(=O)([O-])=O)=CC1(C)C)C1=CC=[N+](CCCCCC(O)=O)C=C1)(=O)[O-],O,
[O-]S(C1C=[N+](C(CCCCC(O)=O)C)C=CC=1/C=C/C1C(=O)OC2=CC(N(CC)CC)=CC=C2C=1)(=O)=O,CCO,
OC(=O)CCCCCN(C1C=C2OC(=O)C(/C=C/C3=C(C=[N+](CCCS(=O)([O-])=O)C=C3)S(=O)(=O)[O-])=CC2=CC=1)CC,CCO,
N(C1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1)/C=C1\SC2=C(C=CC=C2)N\1C)(CCCN(C)C)C,CCO,
[N+](C)(CC[N+](C)1CCN(CC1)C1=[O+]C2=CC(N(CC)CC)=CC=C2C(/C=C2\SC3C=CC=CC=3N\2C)=C1)(C)C,CCO,
OCCN1CCN(C2C=C(C3C([O+]=2)=CC(N(CC)CC)=CC=3)/C=C2/N(C)C3C=CC=CC=3S/2)CC1,CCO,
N(CC)(C1=CC2OC(C(=CC=2C=C1)C1=[O+]C2=CC(N(CC)CC)=CC=C2C(=C1)C1=C(C=CC=C1)C(O)=O)=O)CC,ClCCl,
N(C1=CC2OC(=O)C(C3=[O+]C4=CC(N(CC)CC)=CC=C4C=C3)=CC=2C=C1)(CC)CC,ClCCl,
[NH2+]=C1C=CC2=C(C3=CC=C(F)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(Cl)=C(F)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C=CC=C4)=C4C5=C3C=CC=C5)C6=C(C=C(N)C=C6)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(F)=C(F)C(F)=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC4=C(C=C(OC)C=C4)C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=CC=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C)=CC(C)=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(OC)=CC=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(OCO4)=C4C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(F)=CC=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(N(C)C)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(Cl)=CC=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(C4OCCCO4)C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(CN4CCC5(OCCO5)CC4)C=C3)C6=C(C=C(N)C=C6)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(C)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(OC)=C(OC)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C)=C(OC)C(C)=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(F)C(C)=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(F)C(C)=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(CCC)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(OC)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(OC4CCCCO4)C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(Cl)S3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C=CC=C4)=C4C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(SC)C=C3)C4=C(C=C(N)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(C4=CC=CC=C4)C=C3)C5=C(C=C(N)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(F)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(Cl)=C(F)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C=CC=C4)=C4C5=C3C=CC=C5)C6=C(C=C(N(C)C)C=C6)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC4=C(C=C(OC)C=C4)C=C3)C5=C(C=C(N(C)C)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(C(C)(C)C)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=CC=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C)=CC(C)=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(OC)=CC=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(OCO4)=C4C=C3)C5=C(C=C(N(C)C)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(F)=CC=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(N(C)C)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(Cl)=CC=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(C4OCCCO4)C=C3)C5=C(C=C(N(C)C)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(CN4CCC5(OCCO5)CC4)C=C3)C6=C(C=C(N(C)C)C=C6)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(C)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(OC)=C(OC)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(C)=C(OC)C(C)=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(F)C(C)=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(F)C(C)=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=CS3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(CCC)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(OC)C=C3)C4=C(C=C(N(C)C)C=C4)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(CN4CCOCC4)=CC=C3)C5=C(C=C(N(C)C)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC(CN4CCCCC4)=CC=C3)C5=C(C=C(N(C)C)C=C5)OC2=C1,O,
[NH2+]=C1C=CC2=C(C3=CC=C(CN4CCCCC4)C=C3)C5=C(C=C(N(C)C)C=C5)OC2=C1,O,
